11003^"Amaranth leaves, raw"
11052^"Beans, snap, green, raw"
11080^"Beets, raw"
11090^"Broccoli, raw"
11109^"Cabbage, raw"
11124^"Carrots, raw"
11165^"Coriander (cilantro) leaves, raw"
11205^"Cucumber, with peel, raw"
11620^"Drumstick pods, raw"
11209^"Eggplant, raw"
11215^"Garlic, raw"
11216^"Ginger root, raw"
11233^"Kale, raw"
11253^"Lettuce, green leaf, raw"
11260^"Mushrooms, white, raw"
11270^"Mustard greens, raw"
11278^"Okra, raw"
11282^"Onions, raw"
11304^"Peas, green, raw"
11670^"Peppers, hot chili, green, raw"
11362^"Potatoes, raw, skin"
11422^"Pumpkin, raw"
11429^"Radishes, raw"
11457^"Spinach, raw"
11696^"Tomatoes, yellow, raw"
11601^"Yam, raw"
